tcp_stream_name,timestamp,ip_len,payload_len,UAPRSF_tcp_flags
192.168.10.6:53128-192.168.122.1:8000,1768689674.700024,60,0,000010!
192.168.122.1:8000-192.168.10.6:53128,1768689674.700482,60,0,010010!
192.168.10.6:53128-192.168.122.1:8000,1768689674.700640,52,0,010000!
192.168.10.6:53128-192.168.122.1:8000,1768689674.700752,137,85,011000!
192.168.122.1:8000-192.168.10.6:53128,1768689674.701039,52,0,010000!
192.168.122.1:8000-192.168.10.6:53128,1768689674.701714,217,165,011000!
192.168.10.6:53128-192.168.122.1:8000,1768689674.701820,52,0,010000!
192.168.122.1:8000-192.168.10.6:53128,1768689674.702138,136,84,011000!
192.168.10.6:53128-192.168.122.1:8000,1768689674.702252,52,0,010000!
192.168.10.6:53128-192.168.122.1:8000,1768689674.702328,52,0,010001!
192.168.122.1:8000-192.168.10.6:53128,1768689674.702689,52,0,010001!
192.168.10.6:53128-192.168.122.1:8000,1768689674.702790,52,0,010000!
192.168.10.6:47268-91.189.91.96:80,1768689674.704868,60,0,000010!
192.168.10.6:41780-91.189.91.48:80,1768689674.704993,60,0,000010!
91.189.91.96:80-192.168.10.6:47268,1768689674.705190,60,0,010010!
91.189.91.48:80-192.168.10.6:41780,1768689674.705277,60,0,010010!
192.168.10.6:47268-91.189.91.96:80,1768689674.705304,52,0,010000!
192.168.10.6:47268-91.189.91.96:80,1768689674.705340,140,88,011000!
192.168.10.6:41780-91.189.91.48:80,1768689674.705428,52,0,010000!
192.168.10.6:41780-91.189.91.48:80,1768689674.705452,140,88,011000!
91.189.91.96:80-192.168.10.6:47268,1768689674.705690,52,0,010000!
91.189.91.48:80-192.168.10.6:41780,1768689674.705715,52,0,010000!
192.168.10.6:53134-192.168.122.1:8000,1768689674.719911,60,0,000010!
192.168.122.1:8000-192.168.10.6:53134,1768689674.720318,60,0,010010!
192.168.10.6:53134-192.168.122.1:8000,1768689674.720470,52,0,010000!
192.168.10.6:53134-192.168.122.1:8000,1768689674.720508,210,158,011000!
192.168.122.1:8000-192.168.10.6:53134,1768689674.720760,52,0,010000!
192.168.122.1:8000-192.168.10.6:53134,1768689674.727588,476,424,011000!
192.168.10.6:53134-192.168.122.1:8000,1768689674.727713,52,0,010000!
192.168.122.1:8000-192.168.10.6:53134,1768689674.727997,1262,1210,011000!
192.168.10.6:53134-192.168.122.1:8000,1768689674.728087,52,0,010000!
192.168.10.6:53134-192.168.122.1:8000,1768689674.728231,52,0,010001!
192.168.122.1:8000-192.168.10.6:53134,1768689674.728539,52,0,010001!
192.168.10.6:53134-192.168.122.1:8000,1768689674.728628,52,0,010000!
192.168.10.6:53150-192.168.122.1:8000,1768689674.733198,60,0,000010!
192.168.122.1:8000-192.168.10.6:53150,1768689674.733582,60,0,010010!
192.168.10.6:53150-192.168.122.1:8000,1768689674.733695,52,0,010000!
192.168.10.6:53150-192.168.122.1:8000,1768689674.733728,143,91,011000!
192.168.122.1:8000-192.168.10.6:53150,1768689674.733984,52,0,010000!
192.168.122.1:8000-192.168.10.6:53150,1768689674.734592,217,165,011000!
192.168.10.6:53150-192.168.122.1:8000,1768689674.734698,52,0,010000!
192.168.122.1:8000-192.168.10.6:53150,1768689674.734972,85,33,011000!
192.168.10.6:53150-192.168.122.1:8000,1768689674.735063,52,0,010000!
192.168.10.6:53150-192.168.122.1:8000,1768689674.735104,52,0,010001!
192.168.122.1:8000-192.168.10.6:53150,1768689674.735488,52,0,010001!
192.168.10.6:53150-192.168.122.1:8000,1768689674.735585,52,0,010000!
192.168.10.6:43562-20.205.243.166:443,1768689674.761162,60,0,000010!
20.205.243.166:443-192.168.10.6:43562,1768689674.761341,60,0,010010!
192.168.10.6:43562-20.205.243.166:443,1768689674.761446,52,0,010000!
192.168.10.6:43562-20.205.243.166:443,1768689674.763252,569,517,011000!
20.205.243.166:443-192.168.10.6:43562,1768689674.763434,52,0,010000!
20.205.243.166:443-192.168.10.6:43562,1768689675.031661,1500,1448,010000!
20.205.243.166:443-192.168.10.6:43562,1768689675.031740,1500,1448,010000!
20.205.243.166:443-192.168.10.6:43562,1768689675.031765,252,200,011000!
192.168.10.6:43562-20.205.243.166:443,1768689675.031877,52,0,010000!
192.168.10.6:43562-20.205.243.166:443,1768689675.034175,116,64,011000!
192.168.10.6:43562-20.205.243.166:443,1768689675.034280,138,86,011000!
192.168.10.6:43562-20.205.243.166:443,1768689675.034344,204,152,011000!
20.205.243.166:443-192.168.10.6:43562,1768689675.034352,52,0,010000!
20.205.243.166:443-192.168.10.6:43562,1768689675.034555,52,0,010000!
20.205.243.166:443-192.168.10.6:43562,1768689675.034620,52,0,010000!
20.205.243.166:443-192.168.10.6:43562,1768689675.107284,210,158,011000!
192.168.10.6:43562-20.205.243.166:443,1768689675.149109,52,0,010000!
20.205.243.166:443-192.168.10.6:43562,1768689675.185112,116,64,011000!
192.168.10.6:43562-20.205.243.166:443,1768689675.185274,52,0,010000!
192.168.10.6:43562-20.205.243.166:443,1768689675.185426,83,31,011000!
20.205.243.166:443-192.168.10.6:43562,1768689675.185579,52,0,010000!
91.189.91.96:80-192.168.10.6:47268,1768689675.261305,241,189,011000!
91.189.91.96:80-192.168.10.6:47268,1768689675.262997,52,0,010001!
91.189.91.96:80-192.168.10.6:47268,1768689675.266132,52,0,010001!
20.205.243.166:443-192.168.10.6:43562,1768689675.373574,1500,1448,010000!
20.205.243.166:443-192.168.10.6:43562,1768689675.373608,1500,1448,010000!
20.205.243.166:443-192.168.10.6:43562,1768689675.373618,1500,1448,010000!
20.205.243.166:443-192.168.10.6:43562,1768689675.373648,721,669,011000!
91.189.91.48:80-192.168.10.6:41780,1768689675.379266,241,189,011000!
91.189.91.48:80-192.168.10.6:41780,1768689675.381133,52,0,010001!
91.189.91.48:80-192.168.10.6:41780,1768689675.384273,52,0,010001!
20.205.243.166:443-192.168.10.6:43562,1768689675.386248,721,669,011000!
91.189.91.96:80-192.168.10.6:47268,1768689675.497305,241,189,011001!
20.205.243.166:443-192.168.10.6:43562,1768689675.593297,1500,1448,010000!
91.189.91.48:80-192.168.10.6:41780,1768689675.617336,241,189,011001!
91.189.91.96:80-192.168.10.6:47268,1768689675.953278,241,189,011001!
20.205.243.166:443-192.168.10.6:43562,1768689676.009293,1500,1448,010000!
91.189.91.48:80-192.168.10.6:41780,1768689676.073305,241,189,011001!
192.168.10.6:47268-91.189.91.96:80,1768689676.216057,52,0,010000!
192.168.10.6:47268-91.189.91.96:80,1768689676.216081,64,0,010000!
192.168.10.6:41780-91.189.91.48:80,1768689676.216085,52,0,010000!
192.168.10.6:41780-91.189.91.48:80,1768689676.216132,64,0,010000!
192.168.10.6:43562-20.205.243.166:443,1768689676.216145,52,0,010000!
192.168.10.6:43562-20.205.243.166:443,1768689676.216208,64,0,010000!
192.168.10.6:47268-91.189.91.96:80,1768689676.216220,64,0,010000!
192.168.10.6:41780-91.189.91.48:80,1768689676.216232,64,0,010000!
192.168.10.6:47268-91.189.91.96:80,1768689676.216235,64,0,010000!
192.168.10.6:43562-20.205.243.166:443,1768689676.216293,64,0,010000!
192.168.10.6:41780-91.189.91.48:80,1768689676.216304,64,0,010000!
192.168.10.6:43562-20.205.243.166:443,1768689676.216328,64,0,010000!
192.168.10.6:47268-91.189.91.96:80,1768689676.216496,52,0,010001!
91.189.91.96:80-192.168.10.6:47268,1768689676.216713,52,0,010000!
192.168.10.6:56210-185.199.110.133:443,1768689676.217433,60,0,000010!
192.168.10.6:41780-91.189.91.48:80,1768689676.217647,52,0,010001!
185.199.110.133:443-192.168.10.6:56210,1768689676.217657,60,0,010010!
192.168.10.6:56210-185.199.110.133:443,1768689676.217866,52,0,010000!
91.189.91.48:80-192.168.10.6:41780,1768689676.217914,52,0,010000!
192.168.10.6:56210-185.199.110.133:443,1768689676.218315,569,517,011000!
185.199.110.133:443-192.168.10.6:56210,1768689676.218490,52,0,010000!
185.199.110.133:443-192.168.10.6:56210,1768689676.501946,1500,1448,010000!
185.199.110.133:443-192.168.10.6:56210,1768689676.501981,1500,1448,010000!
185.199.110.133:443-192.168.10.6:56210,1768689676.502017,1500,1448,010000!
185.199.110.133:443-192.168.10.6:56210,1768689676.502049,1131,1079,011000!
192.168.10.6:56210-185.199.110.133:443,1768689676.502167,52,0,010000!
192.168.10.6:56210-185.199.110.133:443,1768689676.515035,116,64,011000!
192.168.10.6:56210-185.199.110.133:443,1768689676.515185,138,86,011000!
192.168.10.6:56210-185.199.110.133:443,1768689676.515351,845,793,011000!
185.199.110.133:443-192.168.10.6:56210,1768689676.515408,52,0,010000!
185.199.110.133:443-192.168.10.6:56210,1768689676.515443,52,0,010000!
185.199.110.133:443-192.168.10.6:56210,1768689676.515579,52,0,010000!
185.199.110.133:443-192.168.10.6:56210,1768689676.603345,117,65,011000!
192.168.10.6:56210-185.199.110.133:443,1768689676.603620,83,31,011000!
185.199.110.133:443-192.168.10.6:56210,1768689676.603819,52,0,010000!
185.199.110.133:443-192.168.10.6:56210,1768689676.605405,618,566,011000!
185.199.110.133:443-192.168.10.6:56210,1768689676.609413,1500,1448,010000!
185.199.110.133:443-192.168.10.6:56210,1768689676.609460,1500,1448,010000!
185.199.110.133:443-192.168.10.6:56210,1768689676.609494,1500,1448,010000!
185.199.110.133:443-192.168.10.6:56210,1768689676.609526,1452,1400,011000!
192.168.10.6:56210-185.199.110.133:443,1768689676.609629,52,0,010000!
185.199.110.133:443-192.168.10.6:56210,1768689676.615880,1500,1448,010000!
185.199.110.133:443-192.168.10.6:56210,1768689676.615910,1476,1424,011000!
192.168.10.6:56210-185.199.110.133:443,1768689676.616080,52,0,010000!
185.199.110.133:443-192.168.10.6:56210,1768689676.616266,1500,1448,010000!
185.199.110.133:443-192.168.10.6:56210,1768689676.616290,1476,1424,011000!
192.168.10.6:56210-185.199.110.133:443,1768689676.616403,52,0,010000!
185.199.110.133:443-192.168.10.6:56210,1768689676.617380,1500,1448,010000!
185.199.110.133:443-192.168.10.6:56210,1768689676.617412,1476,1424,011000!
192.168.10.6:56210-185.199.110.133:443,1768689676.617556,52,0,010000!
185.199.110.133:443-192.168.10.6:56210,1768689676.621816,1500,1448,010000!
185.199.110.133:443-192.168.10.6:56210,1768689676.621849,901,849,011000!
192.168.10.6:56210-185.199.110.133:443,1768689676.622034,52,0,010000!
185.199.110.133:443-192.168.10.6:56210,1768689676.623155,1500,1448,010000!
185.199.110.133:443-192.168.10.6:56210,1768689676.623187,1476,1424,011000!
192.168.10.6:56210-185.199.110.133:443,1768689676.623330,52,0,010000!
185.199.110.133:443-192.168.10.6:56210,1768689676.639468,1500,1448,010000!
185.199.110.133:443-192.168.10.6:56210,1768689676.639513,1476,1424,011000!
192.168.10.6:56210-185.199.110.133:443,1768689676.639710,52,0,010000!
185.199.110.133:443-192.168.10.6:56210,1768689676.643283,1500,1448,010000!
185.199.110.133:443-192.168.10.6:56210,1768689676.643315,1476,1424,011000!
192.168.10.6:56210-185.199.110.133:443,1768689676.643474,52,0,010000!
185.199.110.133:443-192.168.10.6:56210,1768689676.645234,1500,1448,010000!
185.199.110.133:443-192.168.10.6:56210,1768689676.645261,1476,1424,011000!
192.168.10.6:56210-185.199.110.133:443,1768689676.645410,52,0,010000!
185.199.110.133:443-192.168.10.6:56210,1768689676.649531,1500,1448,010000!
185.199.110.133:443-192.168.10.6:56210,1768689676.649610,1476,1424,011000!
192.168.10.6:56210-185.199.110.133:443,1768689676.649705,52,0,010000!
185.199.110.133:443-192.168.10.6:56210,1768689676.651516,1500,1448,010000!
