tcp_stream_name,timestamp,ip_len,payload_len,UAPRSF_tcp_flags
192.168.10.6:43632-192.168.122.1:8000,1768684624.524895,60,0,000010!
192.168.122.1:8000-192.168.10.6:43632,1768684624.525377,60,0,010010!
192.168.10.6:43632-192.168.122.1:8000,1768684624.525548,52,0,010000!
192.168.10.6:43632-192.168.122.1:8000,1768684624.525593,137,85,011000!
192.168.122.1:8000-192.168.10.6:43632,1768684624.525969,52,0,010000!
192.168.122.1:8000-192.168.10.6:43632,1768684624.526790,217,165,011000!
192.168.10.6:43632-192.168.122.1:8000,1768684624.526906,52,0,010000!
192.168.122.1:8000-192.168.10.6:43632,1768684624.527204,136,84,011000!
192.168.10.6:43632-192.168.122.1:8000,1768684624.527301,52,0,010000!
192.168.10.6:43632-192.168.122.1:8000,1768684624.528061,52,0,010001!
192.168.122.1:8000-192.168.10.6:43632,1768684624.528486,52,0,010001!
192.168.10.6:43632-192.168.122.1:8000,1768684624.528583,52,0,010000!
192.168.10.6:47478-185.125.190.49:80,1768684624.529511,60,0,000010!
192.168.10.6:38226-185.125.190.97:80,1768684624.529677,60,0,000010!
185.125.190.49:80-192.168.10.6:47478,1768684624.529762,60,0,010010!
185.125.190.97:80-192.168.10.6:38226,1768684624.529864,60,0,010010!
192.168.10.6:47478-185.125.190.49:80,1768684624.529885,52,0,010000!
192.168.10.6:47478-185.125.190.49:80,1768684624.529958,140,88,011000!
192.168.10.6:38226-185.125.190.97:80,1768684624.530027,52,0,010000!
192.168.10.6:38226-185.125.190.97:80,1768684624.530063,140,88,011000!
185.125.190.49:80-192.168.10.6:47478,1768684624.530148,52,0,010000!
185.125.190.97:80-192.168.10.6:38226,1768684624.530335,52,0,010000!
192.168.10.6:43636-192.168.122.1:8000,1768684624.541747,60,0,000010!
192.168.122.1:8000-192.168.10.6:43636,1768684624.542023,60,0,010010!
192.168.10.6:43636-192.168.122.1:8000,1768684624.542155,52,0,010000!
192.168.10.6:43636-192.168.122.1:8000,1768684624.542190,210,158,011000!
192.168.122.1:8000-192.168.10.6:43636,1768684624.542473,52,0,010000!
