tcp_stream_name,timestamp,ip_len,payload_len,UAPRSF_tcp_flags
192.168.10.6:42488-192.168.122.1:8000,1768688167.391154,60,0,000010!
192.168.122.1:8000-192.168.10.6:42488,1768688167.391633,60,0,010010!
192.168.10.6:42488-192.168.122.1:8000,1768688167.391786,52,0,010000!
192.168.10.6:42488-192.168.122.1:8000,1768688167.391864,137,85,011000!
192.168.122.1:8000-192.168.10.6:42488,1768688167.392104,52,0,010000!
192.168.122.1:8000-192.168.10.6:42488,1768688167.392744,217,165,011000!
192.168.10.6:42488-192.168.122.1:8000,1768688167.392848,52,0,010000!
192.168.122.1:8000-192.168.10.6:42488,1768688167.393034,136,84,011000!
192.168.10.6:42488-192.168.122.1:8000,1768688167.393146,52,0,010000!
192.168.10.6:42488-192.168.122.1:8000,1768688167.393238,52,0,010001!
192.168.122.1:8000-192.168.10.6:42488,1768688167.393661,52,0,010001!
192.168.10.6:42488-192.168.122.1:8000,1768688167.393799,52,0,010000!
192.168.10.6:46494-185.125.190.96:80,1768688167.396656,60,0,000010!
192.168.10.6:36374-185.125.190.97:80,1768688167.396731,60,0,000010!
185.125.190.96:80-192.168.10.6:46494,1768688167.396908,60,0,010010!
185.125.190.97:80-192.168.10.6:36374,1768688167.396946,60,0,010010!
192.168.10.6:46494-185.125.190.96:80,1768688167.397064,52,0,010000!
192.168.10.6:36374-185.125.190.97:80,1768688167.397082,52,0,010000!
192.168.10.6:46494-185.125.190.96:80,1768688167.397214,140,88,011000!
192.168.10.6:36374-185.125.190.97:80,1768688167.397270,140,88,011000!
185.125.190.96:80-192.168.10.6:46494,1768688167.397507,52,0,010000!
185.125.190.97:80-192.168.10.6:36374,1768688167.397541,52,0,010000!
192.168.10.6:42502-192.168.122.1:8000,1768688167.408480,60,0,000010!
192.168.122.1:8000-192.168.10.6:42502,1768688167.409204,60,0,010010!
192.168.10.6:42502-192.168.122.1:8000,1768688167.409431,52,0,010000!
192.168.10.6:42502-192.168.122.1:8000,1768688167.409497,210,158,011000!
192.168.122.1:8000-192.168.10.6:42502,1768688167.409762,52,0,010000!
192.168.122.1:8000-192.168.10.6:42502,1768688167.416771,476,424,011000!
192.168.10.6:42502-192.168.122.1:8000,1768688167.416913,52,0,010000!
192.168.122.1:8000-192.168.10.6:42502,1768688167.417092,1265,1213,011000!
192.168.10.6:42502-192.168.122.1:8000,1768688167.417223,52,0,010000!
192.168.10.6:42502-192.168.122.1:8000,1768688167.417358,52,0,010001!
192.168.122.1:8000-192.168.10.6:42502,1768688167.417665,52,0,010001!
192.168.10.6:42502-192.168.122.1:8000,1768688167.417762,52,0,010000!
192.168.10.6:42508-192.168.122.1:8000,1768688167.421992,60,0,000010!
192.168.122.1:8000-192.168.10.6:42508,1768688167.422326,60,0,010010!
192.168.10.6:42508-192.168.122.1:8000,1768688167.422443,52,0,010000!
192.168.10.6:42508-192.168.122.1:8000,1768688167.422525,143,91,011000!
192.168.122.1:8000-192.168.10.6:42508,1768688167.422738,52,0,010000!
192.168.122.1:8000-192.168.10.6:42508,1768688167.423305,217,165,011000!
192.168.10.6:42508-192.168.122.1:8000,1768688167.423404,52,0,010000!
192.168.122.1:8000-192.168.10.6:42508,1768688167.423577,85,33,011000!
192.168.10.6:42508-192.168.122.1:8000,1768688167.423680,52,0,010000!
192.168.10.6:42508-192.168.122.1:8000,1768688167.423755,52,0,010001!
192.168.122.1:8000-192.168.10.6:42508,1768688167.424107,52,0,010001!
192.168.10.6:42508-192.168.122.1:8000,1768688167.424210,52,0,010000!
192.168.10.6:40502-20.205.243.166:443,1768688167.446631,60,0,000010!
20.205.243.166:443-192.168.10.6:40502,1768688167.446818,60,0,010010!
192.168.10.6:40502-20.205.243.166:443,1768688167.446919,52,0,010000!
192.168.10.6:40502-20.205.243.166:443,1768688167.448939,569,517,011000!
20.205.243.166:443-192.168.10.6:40502,1768688167.449215,52,0,010000!
20.205.243.166:443-192.168.10.6:40502,1768688167.715068,1500,1448,010000!
20.205.243.166:443-192.168.10.6:40502,1768688167.715094,1500,1448,010000!
20.205.243.166:443-192.168.10.6:40502,1768688167.715133,250,198,011000!
192.168.10.6:40502-20.205.243.166:443,1768688167.715277,52,0,010000!
192.168.10.6:40502-20.205.243.166:443,1768688167.715383,52,0,010000!
192.168.10.6:40502-20.205.243.166:443,1768688167.717693,116,64,011000!
192.168.10.6:40502-20.205.243.166:443,1768688167.717804,138,86,011000!
192.168.10.6:40502-20.205.243.166:443,1768688167.717876,204,152,011000!
20.205.243.166:443-192.168.10.6:40502,1768688167.717935,52,0,010000!
20.205.243.166:443-192.168.10.6:40502,1768688167.718082,52,0,010000!
20.205.243.166:443-192.168.10.6:40502,1768688167.718105,52,0,010000!
20.205.243.166:443-192.168.10.6:40502,1768688167.788337,274,222,011000!
192.168.10.6:40502-20.205.243.166:443,1768688167.788714,83,31,011000!
20.205.243.166:443-192.168.10.6:40502,1768688167.788887,52,0,010000!
185.125.190.96:80-192.168.10.6:46494,1768688167.886282,241,189,011000!
185.125.190.96:80-192.168.10.6:46494,1768688167.886432,52,0,010001!
185.125.190.96:80-192.168.10.6:46494,1768688167.890372,52,0,010001!
185.125.190.97:80-192.168.10.6:36374,1768688167.898170,241,189,011000!
185.125.190.97:80-192.168.10.6:36374,1768688167.898360,52,0,010001!
185.125.190.97:80-192.168.10.6:36374,1768688167.902369,52,0,010001!
20.205.243.166:443-192.168.10.6:40502,1768688168.106249,1476,1424,011000!
20.205.243.166:443-192.168.10.6:40502,1768688168.144509,1500,1448,010000!
20.205.243.166:443-192.168.10.6:40502,1768688168.144542,1500,1448,010000!
20.205.243.166:443-192.168.10.6:40502,1768688168.144577,741,689,011000!
20.205.243.166:443-192.168.10.6:40502,1768688168.148511,741,689,011000!
185.125.190.96:80-192.168.10.6:46494,1768688168.182537,241,189,011001!
185.125.190.97:80-192.168.10.6:36374,1768688168.198550,241,189,011001!
20.205.243.166:443-192.168.10.6:40502,1768688168.350565,1476,1424,011000!
20.205.243.166:443-192.168.10.6:40502,1768688168.758564,1476,1424,011000!
185.125.190.96:80-192.168.10.6:46494,1768688168.774649,241,189,011001!
192.168.10.6:46494-185.125.190.96:80,1768688168.837249,52,0,010000!
192.168.10.6:46494-185.125.190.96:80,1768688168.837278,64,0,010000!
192.168.10.6:36374-185.125.190.97:80,1768688168.837284,52,0,010000!
192.168.10.6:36374-185.125.190.97:80,1768688168.837290,64,0,010000!
192.168.10.6:46494-185.125.190.96:80,1768688168.837295,52,0,010001!
192.168.10.6:40502-20.205.243.166:443,1768688168.837309,52,0,010000!
192.168.10.6:40502-20.205.243.166:443,1768688168.837360,64,0,010000!
192.168.10.6:46494-185.125.190.96:80,1768688168.837375,64,0,010000!
192.168.10.6:36374-185.125.190.97:80,1768688168.837394,64,0,010000!
192.168.10.6:40502-20.205.243.166:443,1768688168.837418,64,0,010000!
192.168.10.6:40502-20.205.243.166:443,1768688168.837451,64,0,010000!
192.168.10.6:46494-185.125.190.96:80,1768688168.837472,64,0,010000!
185.125.190.96:80-192.168.10.6:46494,1768688168.837791,52,0,010000!
192.168.10.6:36374-185.125.190.97:80,1768688168.838053,52,0,010001!
185.125.190.97:80-192.168.10.6:36374,1768688168.838297,52,0,010000!
192.168.10.6:59498-185.199.110.133:443,1768688168.839289,60,0,000010!
185.199.110.133:443-192.168.10.6:59498,1768688168.839524,60,0,010010!
