tcp_stream_name,timestamp,ip_len,payload_len,UAPRSF_tcp_flags
192.168.10.6:42716-192.168.122.1:8000,1768691408.987478,60,0,000010!
192.168.122.1:8000-192.168.10.6:42716,1768691408.987947,60,0,010010!
192.168.10.6:42716-192.168.122.1:8000,1768691408.988179,52,0,010000!
192.168.10.6:42716-192.168.122.1:8000,1768691408.988242,137,85,011000!
192.168.122.1:8000-192.168.10.6:42716,1768691408.988640,52,0,010000!
192.168.122.1:8000-192.168.10.6:42716,1768691408.989164,217,165,011000!
192.168.10.6:42716-192.168.122.1:8000,1768691408.989330,52,0,010000!
192.168.122.1:8000-192.168.10.6:42716,1768691408.989639,136,84,011000!
192.168.10.6:42716-192.168.122.1:8000,1768691408.989741,52,0,010000!
192.168.10.6:42716-192.168.122.1:8000,1768691408.989814,52,0,010001!
192.168.122.1:8000-192.168.10.6:42716,1768691408.990168,52,0,010001!
192.168.10.6:42716-192.168.122.1:8000,1768691408.990281,52,0,010000!
192.168.10.6:47406-91.189.91.48:80,1768691408.993650,60,0,000010!
192.168.10.6:36790-185.125.190.97:80,1768691408.993802,60,0,000010!
91.189.91.48:80-192.168.10.6:47406,1768691408.994039,60,0,010010!
185.125.190.97:80-192.168.10.6:36790,1768691408.994113,60,0,010010!
192.168.10.6:47406-91.189.91.48:80,1768691408.994170,52,0,010000!
192.168.10.6:47406-91.189.91.48:80,1768691408.994218,140,88,011000!
192.168.10.6:36790-185.125.190.97:80,1768691408.994300,52,0,010000!
192.168.10.6:36790-185.125.190.97:80,1768691408.994329,140,88,011000!
91.189.91.48:80-192.168.10.6:47406,1768691408.994528,52,0,010000!
185.125.190.97:80-192.168.10.6:36790,1768691408.994550,52,0,010000!
192.168.10.6:42728-192.168.122.1:8000,1768691409.008293,60,0,000010!
192.168.122.1:8000-192.168.10.6:42728,1768691409.008710,60,0,010010!
192.168.10.6:42728-192.168.122.1:8000,1768691409.008842,52,0,010000!
192.168.10.6:42728-192.168.122.1:8000,1768691409.008979,210,158,011000!
192.168.122.1:8000-192.168.10.6:42728,1768691409.009296,52,0,010000!
192.168.122.1:8000-192.168.10.6:42728,1768691409.016060,475,423,011000!
192.168.122.1:8000-192.168.10.6:42728,1768691409.016102,1500,1448,010000!
192.168.122.1:8000-192.168.10.6:42728,1768691409.016109,1500,1448,010000!
192.168.122.1:8000-192.168.10.6:42728,1768691409.016120,1500,1448,011000!
192.168.122.1:8000-192.168.10.6:42728,1768691409.016124,52,0,011000!
192.168.10.6:42728-192.168.122.1:8000,1768691409.016239,52,0,010000!
192.168.10.6:42728-192.168.122.1:8000,1768691409.016268,52,0,010000!
192.168.122.1:8000-192.168.10.6:42728,1768691409.016599,1003,951,011000!
192.168.10.6:42728-192.168.122.1:8000,1768691409.016701,52,0,010000!
192.168.10.6:42728-192.168.122.1:8000,1768691409.016804,52,0,010001!
192.168.122.1:8000-192.168.10.6:42728,1768691409.017143,52,0,010001!
192.168.10.6:42728-192.168.122.1:8000,1768691409.017259,52,0,010000!
192.168.10.6:42740-192.168.122.1:8000,1768691409.021742,60,0,000010!
