tcp_stream_name,timestamp,ip_len,payload_len,UAPRSF_tcp_flags
192.168.10.6:51598-192.168.122.1:8000,1768690770.272757,60,0,000010!
192.168.122.1:8000-192.168.10.6:51598,1768690770.273185,60,0,010010!
192.168.10.6:51598-192.168.122.1:8000,1768690770.273362,52,0,010000!
192.168.10.6:51598-192.168.122.1:8000,1768690770.273437,137,85,011000!
192.168.122.1:8000-192.168.10.6:51598,1768690770.273765,52,0,010000!
192.168.122.1:8000-192.168.10.6:51598,1768690770.274331,217,165,011000!
192.168.10.6:51598-192.168.122.1:8000,1768690770.274418,52,0,010000!
192.168.122.1:8000-192.168.10.6:51598,1768690770.274642,136,84,011000!
192.168.10.6:51598-192.168.122.1:8000,1768690770.274733,52,0,010000!
192.168.10.6:51598-192.168.122.1:8000,1768690770.274817,52,0,010001!
192.168.122.1:8000-192.168.10.6:51598,1768690770.275207,52,0,010001!
192.168.10.6:51598-192.168.122.1:8000,1768690770.275326,52,0,010000!
192.168.10.6:36444-185.125.190.96:80,1768690770.278255,60,0,000010!
192.168.10.6:47716-185.125.190.97:80,1768690770.278369,60,0,000010!
185.125.190.96:80-192.168.10.6:36444,1768690770.278570,60,0,010010!
185.125.190.97:80-192.168.10.6:47716,1768690770.278621,60,0,010010!
192.168.10.6:36444-185.125.190.96:80,1768690770.278712,52,0,010000!
192.168.10.6:47716-185.125.190.97:80,1768690770.278738,52,0,010000!
192.168.10.6:36444-185.125.190.96:80,1768690770.278757,140,88,011000!
192.168.10.6:47716-185.125.190.97:80,1768690770.278791,140,88,011000!
185.125.190.96:80-192.168.10.6:36444,1768690770.278949,52,0,010000!
185.125.190.97:80-192.168.10.6:47716,1768690770.278991,52,0,010000!
192.168.10.6:51600-192.168.122.1:8000,1768690770.290953,60,0,000010!
192.168.122.1:8000-192.168.10.6:51600,1768690770.291454,60,0,010010!
192.168.10.6:51600-192.168.122.1:8000,1768690770.291588,52,0,010000!
192.168.10.6:51600-192.168.122.1:8000,1768690770.291736,210,158,011000!
192.168.122.1:8000-192.168.10.6:51600,1768690770.292057,52,0,010000!
192.168.122.1:8000-192.168.10.6:51600,1768690770.298886,475,423,011000!
192.168.122.1:8000-192.168.10.6:51600,1768690770.298944,1500,1448,010000!
192.168.122.1:8000-192.168.10.6:51600,1768690770.298954,1500,1448,010000!
192.168.122.1:8000-192.168.10.6:51600,1768690770.298971,1500,1448,011000!
192.168.122.1:8000-192.168.10.6:51600,1768690770.298979,52,0,011000!
192.168.10.6:51600-192.168.122.1:8000,1768690770.299071,52,0,010000!
192.168.10.6:51600-192.168.122.1:8000,1768690770.299106,52,0,010000!
192.168.122.1:8000-192.168.10.6:51600,1768690770.299329,1052,1000,011000!
192.168.10.6:51600-192.168.122.1:8000,1768690770.299410,52,0,010000!
192.168.10.6:51600-192.168.122.1:8000,1768690770.299569,52,0,010001!
192.168.122.1:8000-192.168.10.6:51600,1768690770.299859,52,0,010001!
192.168.10.6:51600-192.168.122.1:8000,1768690770.299944,52,0,010000!
192.168.10.6:51614-192.168.122.1:8000,1768690770.305011,60,0,000010!
192.168.122.1:8000-192.168.10.6:51614,1768690770.305489,60,0,010010!
192.168.10.6:51614-192.168.122.1:8000,1768690770.305611,52,0,010000!
192.168.10.6:51614-192.168.122.1:8000,1768690770.305642,143,91,011000!
192.168.122.1:8000-192.168.10.6:51614,1768690770.305944,52,0,010000!
192.168.122.1:8000-192.168.10.6:51614,1768690770.306541,217,165,011000!
192.168.10.6:51614-192.168.122.1:8000,1768690770.306656,52,0,010000!
192.168.122.1:8000-192.168.10.6:51614,1768690770.306959,85,33,011000!
192.168.10.6:51614-192.168.122.1:8000,1768690770.307054,52,0,010000!
192.168.10.6:51614-192.168.122.1:8000,1768690770.307097,52,0,010001!
192.168.122.1:8000-192.168.10.6:51614,1768690770.307517,52,0,010001!
192.168.10.6:51614-192.168.122.1:8000,1768690770.307626,52,0,010000!
185.125.190.96:80-192.168.10.6:36444,1768690770.847711,241,189,011000!
185.125.190.97:80-192.168.10.6:47716,1768690770.847738,241,189,011000!
185.125.190.96:80-192.168.10.6:36444,1768690770.847805,52,0,010001!
185.125.190.97:80-192.168.10.6:47716,1768690770.847819,52,0,010001!
185.125.190.97:80-192.168.10.6:47716,1768690770.850995,52,0,010001!
185.125.190.96:80-192.168.10.6:36444,1768690770.851031,52,0,010001!
185.125.190.96:80-192.168.10.6:36444,1768690771.118110,241,189,011001!
185.125.190.97:80-192.168.10.6:47716,1768690771.118140,241,189,011001!
185.125.190.97:80-192.168.10.6:47716,1768690771.670068,241,189,011001!
185.125.190.96:80-192.168.10.6:36444,1768690771.670099,241,189,011001!
192.168.10.6:36444-185.125.190.96:80,1768690771.696843,52,0,010000!
192.168.10.6:47716-185.125.190.97:80,1768690771.696875,52,0,010000!
