tcp_stream_name,timestamp,ip_len,payload_len,UAPRSF_tcp_flags
192.168.10.6:57224-192.168.122.1:8000,1768687299.896012,60,0,000010!
192.168.122.1:8000-192.168.10.6:57224,1768687299.896474,60,0,010010!
192.168.10.6:57224-192.168.122.1:8000,1768687299.896646,52,0,010000!
192.168.10.6:57224-192.168.122.1:8000,1768687299.896748,137,85,011000!
192.168.122.1:8000-192.168.10.6:57224,1768687299.897055,52,0,010000!
192.168.122.1:8000-192.168.10.6:57224,1768687299.897724,217,165,011000!
192.168.10.6:57224-192.168.122.1:8000,1768687299.897824,52,0,010000!
192.168.122.1:8000-192.168.10.6:57224,1768687299.898136,136,84,011000!
192.168.10.6:57224-192.168.122.1:8000,1768687299.898234,52,0,010000!
192.168.10.6:57224-192.168.122.1:8000,1768687299.898331,52,0,010001!
192.168.122.1:8000-192.168.10.6:57224,1768687299.898677,52,0,010001!
192.168.10.6:57224-192.168.122.1:8000,1768687299.898774,52,0,010000!
192.168.10.6:50032-185.125.190.18:80,1768687299.900394,60,0,000010!
185.125.190.18:80-192.168.10.6:50032,1768687299.900657,60,0,010010!
192.168.10.6:51152-185.125.190.49:80,1768687299.900697,60,0,000010!
192.168.10.6:50032-185.125.190.18:80,1768687299.900773,52,0,010000!
192.168.10.6:50032-185.125.190.18:80,1768687299.900821,140,88,011000!
185.125.190.49:80-192.168.10.6:51152,1768687299.900959,60,0,010010!
192.168.10.6:51152-185.125.190.49:80,1768687299.901078,52,0,010000!
185.125.190.18:80-192.168.10.6:50032,1768687299.901099,52,0,010000!
192.168.10.6:51152-185.125.190.49:80,1768687299.901109,140,88,011000!
185.125.190.49:80-192.168.10.6:51152,1768687299.901244,52,0,010000!
192.168.10.6:57234-192.168.122.1:8000,1768687299.917071,60,0,000010!
192.168.122.1:8000-192.168.10.6:57234,1768687299.917516,60,0,010010!
192.168.10.6:57234-192.168.122.1:8000,1768687299.917656,52,0,010000!
192.168.10.6:57234-192.168.122.1:8000,1768687299.917710,210,158,011000!
192.168.122.1:8000-192.168.10.6:57234,1768687299.918011,52,0,010000!
192.168.122.1:8000-192.168.10.6:57234,1768687299.924917,475,423,011000!
192.168.10.6:57234-192.168.122.1:8000,1768687299.925109,52,0,010000!
192.168.122.1:8000-192.168.10.6:57234,1768687299.925424,1270,1218,011000!
192.168.10.6:57234-192.168.122.1:8000,1768687299.925520,52,0,010000!
192.168.10.6:57234-192.168.122.1:8000,1768687299.925677,52,0,010001!
192.168.122.1:8000-192.168.10.6:57234,1768687299.925988,52,0,010001!
192.168.10.6:57234-192.168.122.1:8000,1768687299.926092,52,0,010000!
192.168.10.6:57238-192.168.122.1:8000,1768687299.932886,60,0,000010!
192.168.122.1:8000-192.168.10.6:57238,1768687299.933281,60,0,010010!
192.168.10.6:57238-192.168.122.1:8000,1768687299.933506,52,0,010000!
192.168.10.6:57238-192.168.122.1:8000,1768687299.933587,143,91,011000!
192.168.122.1:8000-192.168.10.6:57238,1768687299.933819,52,0,010000!
192.168.122.1:8000-192.168.10.6:57238,1768687299.934420,217,165,011000!
192.168.10.6:57238-192.168.122.1:8000,1768687299.934556,52,0,010000!
192.168.122.1:8000-192.168.10.6:57238,1768687299.934852,85,33,011000!
192.168.10.6:57238-192.168.122.1:8000,1768687299.934953,52,0,010000!
192.168.10.6:57238-192.168.122.1:8000,1768687299.934994,52,0,010001!
192.168.122.1:8000-192.168.10.6:57238,1768687299.935289,52,0,010001!
192.168.10.6:57238-192.168.122.1:8000,1768687299.935458,52,0,010000!
192.168.10.6:56020-20.205.243.166:443,1768687299.964173,60,0,000010!
20.205.243.166:443-192.168.10.6:56020,1768687299.964364,60,0,010010!
192.168.10.6:56020-20.205.243.166:443,1768687299.964500,52,0,010000!
192.168.10.6:56020-20.205.243.166:443,1768687299.966263,569,517,011000!
20.205.243.166:443-192.168.10.6:56020,1768687299.966459,52,0,010000!
20.205.243.166:443-192.168.10.6:56020,1768687300.239305,1500,1448,010000!
20.205.243.166:443-192.168.10.6:56020,1768687300.239333,1500,1448,010000!
20.205.243.166:443-192.168.10.6:56020,1768687300.239378,252,200,011000!
192.168.10.6:56020-20.205.243.166:443,1768687300.239507,52,0,010000!
192.168.10.6:56020-20.205.243.166:443,1768687300.241964,116,64,011000!
192.168.10.6:56020-20.205.243.166:443,1768687300.242089,138,86,011000!
192.168.10.6:56020-20.205.243.166:443,1768687300.242149,204,152,011000!
20.205.243.166:443-192.168.10.6:56020,1768687300.242212,52,0,010000!
20.205.243.166:443-192.168.10.6:56020,1768687300.242348,52,0,010000!
20.205.243.166:443-192.168.10.6:56020,1768687300.242374,52,0,010000!
20.205.243.166:443-192.168.10.6:56020,1768687300.314926,210,158,011000!
192.168.10.6:56020-20.205.243.166:443,1768687300.355766,52,0,010000!
20.205.243.166:443-192.168.10.6:56020,1768687300.402902,116,64,011000!
192.168.10.6:56020-20.205.243.166:443,1768687300.403055,52,0,010000!
192.168.10.6:56020-20.205.243.166:443,1768687300.403176,83,31,011000!
20.205.243.166:443-192.168.10.6:56020,1768687300.403367,52,0,010000!
185.125.190.18:80-192.168.10.6:50032,1768687300.415032,241,189,011000!
185.125.190.18:80-192.168.10.6:50032,1768687300.415164,52,0,010001!
192.168.10.6:50032-185.125.190.18:80,1768687300.415223,52,0,010000!
192.168.10.6:50032-185.125.190.18:80,1768687300.415357,52,0,010001!
185.125.190.18:80-192.168.10.6:50032,1768687300.415548,52,0,010000!
185.125.190.49:80-192.168.10.6:51152,1768687300.420740,241,189,011000!
192.168.10.6:51152-185.125.190.49:80,1768687300.420905,52,0,010000!
192.168.10.6:51152-185.125.190.49:80,1768687300.420993,52,0,010001!
185.125.190.49:80-192.168.10.6:51152,1768687300.421006,52,0,010001!
192.168.10.6:51152-185.125.190.49:80,1768687300.421137,52,0,010000!
185.125.190.49:80-192.168.10.6:51152,1768687300.421188,52,0,010000!
